code,name,country,city
SYM,Pu'er Simao Airport,China,Pu'er
SYO,Shonai Airport,Japan,Shonai
SYU,Warraber Island Airport,Australia,Sue Islet
SYX,Sanya Phoenix International Airport,China,Sanya
SZV,Suzhou Guangfu Airport,China,Suzhou
SZW,Schwerin Parchim Airport,Germany,Parchim
SZX,Shenzhen Bao'an International Airport,China,Shenzhen
TAE,Daegu Airport,South Korea,Daegu
TAK,Takamatsu Airport,Japan,Takamatsu
TAN,Tangalooma Airport,Australia,Mango Hill
TAO,Liuting Airport,China,Qingdao
TAQ,Tarcoola Airport,Australia,Tarcoola
TBB,Dong Tac Airport,Vietnam,Tuy Hoa
TCA,Tennant Creek Airport,Australia,Tennant Creek
TCG,Tacheng Airport,China,Tacheng
TCW,Tocumwal Airport,Australia,Finley
TCZ,Tengchong Tuofeng Airport,China,Tengchong
TDN,Theda Station Airport,Australia,Theda Station
TDX,Trat Airport,Thailand,Trat
TEM,Temora Airport,Australia,Junee
TEN,Tongren Fenghuang Airport,China,Tongren
TGA,Tengah Air Base,Singapore,Singapore
TGN,Latrobe Valley Airport,Australia,Morwell
TGO,Tongliao Airport,China,Tongliao
THD,Tho Xuan Airport,Vietnam,Thanh Hóa
THG,Thangool Airport,Australia,Biloela
THQ,Tianshui Maijishan Airport,China,Tianshui
THS,Sukhothai Airport,Thailand,Sawankhalok
TJH,Tajima Airport,Japan,Tajima
TKH,Takhli Airport,Thailand,Chai Nat
TKN,Tokunoshima Airport,Japan,Tokunoshima
TKS,Tokushima Airport/JMSDF Air Base,Japan,Tokushima
TKT,Tak Airport,Thailand,Tak
TKY,Turkey Creek Airport,Australia,Turkey Creek
TLQ,Turpan Jiaohe Airport,China,Turpan
TMW,Tamworth Airport,Australia,Tamworth
TNA,Yaoqiang Airport,China,Jinan
TNE,New Tanegashima Airport,Japan,Tanegashima
TNH,Tonghua Sanyuanpu Airport,China,Tonghua
TNN,Tainan Airport,Taiwan,Tainan City
TOY,Toyama Airport,Japan,Toyama
TPE,Taiwan Taoyuan International Airport,Taiwan,Taipei
TPR,Tom Price Airport,Australia,Tom Price
TQP,Trepell Airport,Australia,Trepell
TRA,Tarama Airport,Japan,Tarama
TRO,Taree Airport,Australia,Taree
TSA,Taipei Songshan Airport,Taiwan,Taipei City
TSJ,Tsushima Airport,Japan,Tsushima
TSN,Tianjin Binhai International Airport,China,Tianjin
TST,Trang Airport,Thailand,Trang
TSV,Townsville Airport,Australia,Townsville
TTJ,Tottori Airport,Japan,Tottori
TTT,Taitung Airport,Taiwan,Taitung City
TTX,Truscott-Mungalalu Airport,Australia,Anjo Peninsula
TUM,Tumut Airport,Australia,Tumut
TVS,Tangshan Sannühe Airport,China,Tangshan
TWB,Toowoomba Airport,Australia,Toowoomba
TWP,Torwood Airport,Australia,Torwood
TXG,Taichung Airport,Taiwan,Taichung City
TXL,Berlin-Tegel Airport,Germany,Berlin
TXN,Tunxi International Airport,China,Huangshan
TXR,Tanbar Airport,Australia,Tanbar Station
TYN,Taiyuan Wusu Airport,China,Taiyuan
TYP,Tobermorey Airport,Australia,Tobermorey
UBB,Mabuiag Island Airport,Australia,Mabuiag Island
UBJ,Yamaguchi Ube Airport,Japan,Ube
UBP,Ubon Ratchathani Airport,Thailand,Ubon Ratchathani
UCB,Ulanqab Jining Airport,China,Ulanqab
UEE,Queenstown Airport,Australia,Queenstown
UIH,Phu Cat Airport,Vietnam,Quy Nohn
UIR,Quirindi Airport,Australia,Quirindi
UJN,Uljin Airport,South Korea,"Bongsan-ri, Uljin"
UKB,Kobe Airport,Japan,Kobe
UMR,Woomera Airfield,Australia,Woomera
UNN,Ranong Airport,Thailand,Ranong
URC,Ürümqi Diwopu International Airport,China,Ürümqi
URD,Burg Feuerstein Airport,Germany,Ebermannstadt
URT,Surat Thani Airport,Thailand,Surat Thani
USM,Samui Airport,Thailand,Na Thon (Ko Samui Island)
USN,Ulsan Airport,South Korea,Ulsan
UTD,Nutwood Downs Airport,Australia,Nutwood Downs
UTH,Udon Thani Airport,Thailand,Udon Thani
UTP,U-Tapao International Airport,Thailand,Rayong
UTR,Uttaradit Airport,Thailand,Uttaradit
UYN,Yulin Yuyang Airport,China,Yulin
VAC,Varrelbusch Airport,Germany,Cloppenburg
VCA,Can Tho International Airport,Vietnam,Can Tho
VCL,Chu Lai International Airport,Vietnam,Dung Quat Bay
VCS,Co Ong Airport,Vietnam,Con Dao
VDH,Dong Hoi Airport,Vietnam,Dong Hoi
VII,Vinh Airport,Vietnam,Vinh
VKG,Rach Gia Airport,Vietnam,Rach Gia
VTG,Vung Tau Airport,Vietnam,Vung Tau
WAN,Waverney Airport,Australia,Waverney
WAZ,Warwick Airport,Australia,Warwick
WBG,Schleswig Air Base,Germany,Jagel
WDI,Wondai Airport,Australia,Wondai
WDS,Shiyan Wudangshan Airport,China,Shiyan
WEF,Weifang Airport,China,Weifang
WEH,Weihai Airport,China,Weihai
WEI,Weipa Airport,Australia,Weipa
WEW,Wee Waa Airport,Australia,Narrabri
WGA,Wagga Wagga City Airport,Australia,Wagga Wagga
WGE,Walgett Airport,Australia,Lightning Ridge
WGN,Shaoyang Wugang Airport,China,Shaoyang
WHL,Welshpool Airport,Australia,Welshpool
WHU,Wuhu Air Base,China,Wuhu
WIE,Wiesbaden Army Airfield,Germany,Wiesbaden
WJU,Wonju/Hoengseong Air Base (K-38/K-46),South Korea,Wonju
WKB,Warracknabeal Airport,Australia,Horsham
WKJ,Wakkanai Airport,Japan,Wakkanai
WLA,Wallal Airport,Australia,Wallal
WLC,Walcha Airport,Australia,Kootingal
WLE,Miles Airport,Australia,Westcourt
WMB,Warrnambool Airport,Australia,Warrnambool
WMT,Zunyi Maotai Airport,China,Zunyi
WNH,Wenshan Puzhehei Airport,China,Wenshan
WNZ,Wenzhou Longwan International Airport,China,Wenzhou
WOL,Wollongong Airport,Australia,Shellharbour Village
WON,Wondoola Airport,Australia,Wondoola
WOT,Wang-an Airport,Taiwan,Wang-an
WRN,Windarling Airport,Australia,Windarling Mine
WSY,Whitsunday Island Airport,Australia,Proserpine
WTB,Toowoomba Wellcamp Airport,Australia,Toowoomba
WUA,Wuhai Airport,China,Wuhai
WUH,Wuhan Tianhe International Airport,China,Wuhan
WUI,Murrin Murrin Airport,Australia,Murrin Murrin
WUS,Nanping Wuyishan Airport,China,Wuyishan
WUT,Xinzhou Wutaishan Airport,China,Xinzhou
WUX,Sunan Shuofang International Airport,China,Wuxi
WUZ,Wuzhou Changzhoudao Airport,China,Wuzhou
WVN,Wilhelmshaven-Mariensiel Airport,Germany,Wilhelmshaven
WWI,Woodie Woodie Airport,Australia,Woodie Woodie
WWY,West Wyalong Airport,Australia,West Wyalong
WXN,Wanxian Airport,China,Wanxian
WYA,Whyalla Airport,Australia,Whyalla
WYN,Wyndham Airport,Australia,Kununurra
WZQ,Urad Middle Banner,China,Urad Middle Banner
XCO,Colac Airport,Australia,Colac
XEN,Xingcheng Air Base,China,Xingcheng
XFN,Xiangyang Liuji Airport,China,Xiangfan
XFW,Hamburg-Finkenwerder Airport,Germany,Hamburg
XIC,Xichang Qingshan Airport,China,Xichang
XIL,Xilinhot Airport,China,Xilinhot
XIN,Xingning Airport,China,Xingning
XIY,Xi'an Xianyang International Airport,China,Xi'an
XMC,Mallacoota Airport,Australia,Eden
XMN,Xiamen Gaoqi International Airport,China,Xiamen
XMY,Yam Island Airport,Australia,Yam Island
XNN,Xining Caojiabu Airport,China,Xining
XNT,Xingtai Dalian Airport,China,Xingtai
XRH,RAAF Base Richmond,Australia,Richmond
XSP,Seletar Airport,Singapore,Seletar
XTR,Tara Airport,Australia,Chinchilla
XUZ,Xuzhou Guanyin Airport,China,Xuzhou
XVL,Vinh Long Airfield,Vietnam,Vinh Long
YBP,Yibin Caiba Airport,China,Yibin
YCU,Yuncheng Guangong Airport,China,Yuncheng
YEC,Yecheon Airbase,South Korea,Yecheon-ri
YGJ,Miho Yonago Airport,Japan,Yonago
YIC,Yichun Mingyueshan Airport,China,Yichun
YIE,Arxan Yi'ershi Airport,China,Arxan
YIH,Yichang Sanxia Airport,China,Yichang
YIN,Yining Airport,China,Yining
YIW,Yiwu Airport,China,Yiwu
YKH,Yingkou Lanqi Airport,China,Yingkou
YLG,Yalgoo Airport,Australia,Yalgoo
YNJ,Yanji Chaoyangchuan Airport,China,Yanji
YNT,Yantai Laishan Airport,China,Yantai
YNY,Yangyang International Airport,South Korea,Gonghang-ro
YNZ,Yancheng Airport,China,Yancheng
YSQ,Songyuan Chaganhu Airport,China,Qian Gorlos Mongol Autonomous County
YTY,Yangzhou Taizhou Airport,China,Yangzhou and Taizhou
YUA,Yuanmou Air Base,China,Yuanmou
YUS,Yushu Batang Airport,China,Yushu
YYA,Sanhe Airport,China,Yueyang
YZY,Zhangye Ganzhou Airport,China,Zhangye
ZAT,Zhaotong Airport,China,Zhaotong
ZBO,Bowen Airport,Australia,Bowen
ZCN,Celle Airport,Germany,Adelheidsdorf
ZHA,Zhanjiang Airport,China,Zhanjiang
ZHY,Zhongwei Shapotou Airport,China,Zhongwei
ZKL,Zigong Airport,China,Zigong
ZMG,"Magdeburg ""City"" Airport",Germany,Magdeburg
ZNE,Newman Airport,Australia,Newman
ZQL,Donaueschingen-Villingen Airport,Germany,Donaueschingen
ZQW,Zweibrücken Airport,Germany,Zweibrücken
ZQZ,Zhangjiakou Ningyuan Airport,China,Zhangjiakou
ZUH,Zhuhai Jinwan Airport,China,Zhuhai
ZVG,Springvale Airport,Australia,Springvale
ZYI,Zunyi Xinzhou Airport,China,Zunyi
